ABAFWngg,tag,time-since-start,date-time,date,time
7.020782037,159,12,9/21/18,2018-09-21,1:41:07
7.038132835,159,12,9/21/18,2018-09-21,6:34:33
6.840279493,159,13,9/20/18,2018-09-20,7:09:31
2.196128216,159,14,9/19/18,2018-09-19,10:57:44
7.210935449,159,15,9/21/18,2018-09-21,5:18:30
7.697812546,159,18,9/21/18,2018-09-21,1:20:14
3.269292233,159,19,9/22/18,2018-09-22,4:53:26
19.37231103,159,20,9/20/18,2018-09-20,12:02:05
7.434784241,159,21,9/22/18,2018-09-22,6:20:22
114.3539831,498,1,9/19/18,2018-09-19,10:13:23
22.09953013,498,2,9/21/18,2018-09-21,4:24:06
30.18533725,498,3,9/20/18,2018-09-20,1:07:17
9.53284283,498,4,9/19/18,2018-09-19,8:24:44
57.92575814,498,5,9/19/18,2018-09-19,8:35:35
23.9808882,498,6,9/21/18,2018-09-21,6:45:26
29.12767887,498,7,9/20/18,2018-09-20,10:48:01
7.630259241,498,8,9/21/18,2018-09-21,5:40:14
12.07242692,498,9,9/20/18,2018-09-20,12:24:42
9.358716857,498,10,9/19/18,2018-09-19,7:08:40
7.290189974,498,11,9/20/18,2018-09-20,4:22:53
13.23160602,498,12,9/22/18,2018-09-22,7:03:50
11.01335615,498,15,9/21/18,2018-09-21,2:46:19
7.538939099,498,16,9/19/18,2018-09-19,11:19:29
11.9059277,498,17,9/21/18,2018-09-21,2:48:43
12.7019887,498,18,9/20/18,2018-09-20,12:02:57
17.14685113,498,19,9/21/18,2018-09-21,6:56:17
20.00508615,498,20,9/20/18,2018-09-20,7:42:12
16.57393247,498,21,9/22/18,2018-09-22,5:48:39
84.80141271,588,1,9/20/18,2018-09-20,4:55:31
21.52910055,588,2,9/20/18,2018-09-20,10:04:33
31.21077553,588,3,9/20/18,2018-09-20,2:02:28
33.04689181,588,4,9/22/18,2018-09-22,8:41:38
11.01596483,588,5,9/20/18,2018-09-20,2:34:13
14.32257858,588,6,9/19/18,2018-09-19,8:13:52
28.84689659,588,7,9/22/18,2018-09-22,5:36:55
4.863191535,588,8,9/20/18,2018-09-20,11:09:46
39.48984309,588,9,9/21/18,2018-09-21,2:35:27
37.55991054,588,10,9/21/18,2018-09-21,5:07:38
34.90665005,588,11,9/19/18,2018-09-19,7:53:00
104.7141644,588,12,9/22/18,2018-09-22,9:03:23
73.38190714,588,13,9/20/18,2018-09-20,8:59:16
50.30618241,588,14,9/20/18,2018-09-20,8:04:49
107.4802851,588,15,9/20/18,2018-09-20,11:08:54
87.50088333,588,16,9/21/18,2018-09-21,4:02:24
85.70355349,588,17,9/21/18,2018-09-21,2:03:43
120.4439954,588,18,9/19/18,2018-09-19,10:46:52
106.0864781,588,19,9/21/18,2018-09-21,5:41:05
116.2246582,588,20,9/22/18,2018-09-22,5:37:46
162.5490849,589,1,9/22/18,2018-09-22,9:35:58
36.59962189,589,2,9/20/18,2018-09-20,8:37:28
56.16437474,589,3,9/20/18,2018-09-20,3:28:33
69.44029994,589,4,9/21/18,2018-09-21,9:06:42
86.91119191,589,5,9/19/18,2018-09-19,9:08:12
17.06960204,589,6,9/21/18,2018-09-21,2:58:03
20.23687964,589,7,9/21/18,2018-09-21,10:44:34
37.96745263,589,8,9/20/18,2018-09-20,11:30:40
3.73979456,589,9,9/21/18,2018-09-21,2:37:51
1.124272409,589,10,9/21/18,2018-09-21,7:50:38
10.85659605,589,11,9/21/18,2018-09-21,9:39:20
28.16057994,589,12,9/20/18,2018-09-20,8:58:22
15.88582838,589,13,9/20/18,2018-09-20,7:53:57
13.90056812,589,14,9/22/18,2018-09-22,8:30:46
20.14172185,589,15,9/21/18,2018-09-21,12:04:11
5.501551761,589,16,9/19/18,2018-09-19,11:18:37
18.70877415,589,18,9/22/18,2018-09-22,8:52:31
149.6087541,590,1,9/20/18,2018-09-20,1:50:45
15.07040227,590,2,9/19/18,2018-09-19,9:41:38
25.74911022,590,4,9/19/18,2018-09-19,7:42:08
124.907056,590,5,9/21/18,2018-09-21,12:46:47
26.88907827,590,6,9/19/18,2018-09-19,10:36:00
2.710203611,590,8,9/20/18,2018-09-20,9:52:49
23.25525577,590,9,9/20/18,2018-09-20,12:13:50
14.4968848,590,10,9/22/18,2018-09-22,9:46:50
20.43186901,590,11,9/20/18,2018-09-20,2:45:05
49.58292044,590,12,9/19/18,2018-09-19,11:40:21
31.28937785,590,12,9/21/18,2018-09-21,1:51:59
74.16783358,590,13,9/22/18,2018-09-22,8:09:54
158.4555138,590,14,9/22/18,2018-09-22,9:14:16
199.2861559,590,15,9/21/18,2018-09-21,2:37:00
145.4036814,590,16,9/22/18,2018-09-22,10:52:02
150.8870333,590,17,9/22/18,2018-09-22,5:16:02
129.5264537,590,18,9/19/18,2018-09-19,8:57:19
181.7196162,590,19,9/21/18,2018-09-21,10:45:26
36.27358421,590,20,9/21/18,2018-09-21,12:57:39
30.25238604,590,21,9/20/18,2018-09-20,4:44:37
29.75254096,591,1,9/22/18,2018-09-22,10:20:18
3.776599032,591,2,9/19/18,2018-09-19,10:02:31
23.7741952,591,3,9/20/18,2018-09-20,4:12:01
52.44807411,591,4,9/20/18,2018-09-20,3:40:16
50.55681774,591,5,9/22/18,2018-09-22,6:31:14
5.055366836,591,7,9/20/18,2018-09-20,9:31:04
5.308508597,591,8,9/21/18,2018-09-21,9:07:34
62.30044689,591,9,9/21/18,2018-09-21,1:19:23
35.15401779,591,10,9/21/18,2018-09-21,10:11:57
41.31584247,591,11,9/22/18,2018-09-22,7:04:42
67.87159236,591,12,9/22/18,2018-09-22,6:42:06
10.6233126,591,12,9/22/18,2018-09-22,7:37:17
33.80578156,591,13,9/21/18,2018-09-21,4:03:15
30.90921357,591,14,9/19/18,2018-09-19,9:09:02
83.74925294,591,15,9/19/18,2018-09-19,11:51:13
55.60537898,591,16,9/21/18,2018-09-21,10:22:49
71.97015549,591,17,9/21/18,2018-09-21,8:34:05
16.23861263,591,19,9/21/18,2018-09-21,8:23:13
3.33696492,591,20,9/21/18,2018-09-21,9:28:26
8.461946531,591,21,9/22/18,2018-09-22,6:09:30
34.02950456,592,1,9/20/18,2018-09-20,10:03:40
22.64286346,592,2,9/21/18,2018-09-21,10:01:03
129.5313628,592,3,9/22/18,2018-09-22,9:25:07
2.326444933,592,4,9/21/18,2018-09-21,7:39:46
353.8968225,592,5,9/20/18,2018-09-20,2:13:20
58.5836766,592,6,9/21/18,2018-09-21,8:01:28
1.553299998,592,8,9/22/18,2018-09-22,10:41:10
78.17019348,592,9,9/21/18,2018-09-21,6:02:48
10.41761916,592,10,9/20/18,2018-09-20,12:35:34
85.1066267,592,11,9/21/18,2018-09-21,3:19:46
38.69866066,592,11,9/21/18,2018-09-21,3:41:31
76.47776656,592,12,9/19/18,2018-09-19,9:30:46
199.0877871,592,12,9/20/18,2018-09-20,2:45:57
69.16345537,592,12,9/21/18,2018-09-21,3:18:55
129.8924143,592,13,9/21/18,2018-09-21,5:19:21
56.0619623,592,14,9/19/18,2018-09-19,7:41:16
23.76907089,592,16,9/21/18,2018-09-21,12:15:03
65.13925463,592,18,9/19/18,2018-09-19,8:36:27
38.9423976,592,19,9/19/18,2018-09-19,6:46:59
32.24987357,592,20,9/21/18,2018-09-21,7:18:53
,,,9/20/18,2018-09-20,3:39:24
,,,9/22/18,2018-09-22,7:36:27
64.8401869,600,1,9/20/18,2018-09-20,3:07:41
38.31915497,600,2,9/20/18,2018-09-20,11:53:19
14.54695798,600,3,9/21/18,2018-09-21,8:55:50
93.26413979,600,4,9/19/18,2018-09-19,10:25:07
57.37052354,600,5,9/20/18,2018-09-20,9:20:10
28.30111243,600,6,9/20/18,2018-09-20,6:58:39
16.21690459,600,7,9/21/18,2018-09-21,6:57:09
17.13517794,600,8,9/20/18,2018-09-20,1:29:53
11.30349773,600,9,9/20/18,2018-09-20,8:36:35
17.59284227,600,11,9/20/18,2018-09-20,12:46:25
13.98593297,600,12,9/20/18,2018-09-20,2:56:49
55.36910175,600,13,9/20/18,2018-09-20,7:53:05
63.92618569,600,14,9/20/18,2018-09-20,8:25:43
49.78936101,600,15,9/21/18,2018-09-21,7:18:02
7.322668762,600,16,9/20/18,2018-09-20,7:20:24
11.23833191,600,17,9/20/18,2018-09-20,4:33:45
25.74621042,600,18,9/22/18,2018-09-22,10:09:26
44.06273382,600,19,9/22/18,2018-09-22,5:15:11
32.47262123,600,20,9/22/18,2018-09-22,4:32:34
2.849334986,600,21,9/21/18,2018-09-21,2:57:10
27.86133786,954,1,9/21/18,2018-09-21,4:56:44
11.42335033,954,2,9/22/18,2018-09-22,6:52:59
16.83885175,954,3,9/20/18,2018-09-20,1:51:36
81.35880469,954,4,9/20/18,2018-09-20,4:56:21
50.29506739,954,5,9/19/18,2018-09-19,7:30:23
5.221860698,954,6,9/19/18,2018-09-19,6:47:50
12.06698237,954,7,9/20/18,2018-09-20,9:41:58
13.20234362,954,9,9/22/18,2018-09-22,9:47:42
7.97849966,954,11,9/21/18,2018-09-21,1:08:31
4.549319224,954,13,9/21/18,2018-09-21,10:33:42
4.842715949,954,14,9/19/18,2018-09-19,7:19:31
64.75037405,954,15,9/20/18,2018-09-20,11:42:26
5.352188492,954,16,9/22/18,2018-09-22,7:15:35
11.71580637,954,17,9/22/18,2018-09-22,5:04:18
4.561139185,954,18,9/21/18,2018-09-21,2:14:35
7.108267528,954,19,9/21/18,2018-09-21,4:34:59
9.092169045,954,21,9/20/18,2018-09-20,11:41:34
86.57556309,999,1,9/21/18,2018-09-21,3:30:39
77.94156053,999,3,9/22/18,2018-09-22,7:58:10
131.1536623,999,4,9/20/18,2018-09-20,10:25:25
,,,9/20/18,2018-09-20,10:36:17
112.6010795,999,5,9/19/18,2018-09-19,10:14:16
40.73641858,999,6,9/22/18,2018-09-22,9:58:34
7.648826938,999,7,9/20/18,2018-09-20,1:18:09
41.80612429,999,8,9/20/18,2018-09-20,10:47:09
6.970286422,999,9,9/21/18,2018-09-21,12:35:55
22.49124865,999,10,9/21/18,2018-09-21,6:01:56
26.5267089,999,12,9/19/18,2018-09-19,9:29:55
103.0834782,999,12,9/22/18,2018-09-22,8:09:02
54.99442661,999,13,9/21/18,2018-09-21,8:02:21
45.37652559,999,14,9/22/18,2018-09-22,11:02:55
36.75563568,999,15,9/21/18,2018-09-21,9:50:11
29.64112502,999,16,9/21/18,2018-09-21,2:02:51
17.69325807,999,17,9/21/18,2018-09-21,8:44:58
24.62652611,999,18,9/21/18,2018-09-21,6:23:40
20.28844313,999,19,9/20/18,2018-09-20,7:31:18
45.9795872,999,20,9/19/18,2018-09-19,6:26:08
,,,,,
,,,,,